Old	New
Acarospora_cervina_Kocourkova_PRM_952325	Acarospora-cervina-OK142756
Acarospora_intermedia_Knudsen_18342	Acarospora-intermedia-MW715700
Acarospora_radicata_Knudsen_13537	Acarospora-radicata-ON447602
Acarospora_organensis_Knudsen_19142	Acarospora-organensis-ON447603
Acarospora_radicata_Knudsen_13428	Acarospora-radicata-ON447604
Acarospora_fuscata_Tonsberg_45807	Acarospora-fuscata-ON447607
Acarospora_chrysops_Knudsen_19385	Acarospora-chrysops-ON447623
Acarospora_chrysops_Knudsen_19269	Acarospora-chrysops-ON447626
Sarcogyne_nogalensis_Knudsen_19340	Sarcogyne-nogalensis-ON447632
Acarospora_socialis_Jason_Dart_518	Acarospora-socialis-MW989390
Sarcogyne_adscendens_Jason_Dart_1230	Sarcogyne-adscendens-OK142749
Acarospora_tuckerae_Knudsen_19113	Acarospora-tuckerae-OK142754
Sarcogyne_similis_Dart_1332	Sarcogyne-similis-MW715720
Acarospora_subcontigua_Knudsen_19366	Acarospora-subcontigua-ON707045
Acarospora_utahensis_Anderson___Poelt	Acarospora-utahensis-ON707051
Acarospora_fusca_Schiefelbein_4446	Acarospora-fusca-MT809051
Acarospora_rimulosa_Knudsen_19053	Acarospora-rimulosa-ON707057
Sarcogyne_malpaiensis_Knudsen_19317_1	Sarcogyne-malpaiensis-OK142764
Acarospora_affinis_T_H_Nash_III_39979	Acarospora-affinis-ON707071
Myriospora_bullata_U_Schiefelbein_5323	Myriospora-bullata-ON707077
Acarospora_robiniae_Knudsen_7972	Acarospora-robiniae-ON707078
Myriospora_bullata_U_Schiefelbein_4763	Myriospora-bullata-MZ262727
A_fuscata_Kocourkov__8499___Knudsen	Acarospora-fuscata-MW989393
Sarcogyne_magnussonii_Freebury_829B	Sarcogyne-magnussonii-MW715694
Acarospora_agostiniana_Knudsen19236	Acarospora-agostiniana-ON707085
Acarospora_chrysops_Kocourkova10386	Acarospora-chrysops-ON707091
Acarospora_rimulosa_Kocourkova10336	Acarospora-rimulosa-ON707094
Acarospora_indistincta_Knudsen_5782	Acarospora-indistincta-ON707096
Acarospora_indistincta_Knudsen_12772	Acarospora-indistincta-ON707099
